"","Chromosome","ChromStart","ChromEnd","Band","Stain","genes"
"2325","chr1",2459625,2460278,"p4","gpos50","yfcE"
"2326","chr1",2460401,2461059,"p8","gpos100","yfcF"
"2327","chr1",2461174,2462078,"p6","gpos100","yfcG"
"2328","chr1",2462130,2462906,"p1","gpos75","yfcH"
"2329","chr1",2462917,2463620,"p5","gpos75","hisP"
"2330","chr1",2463621,2464320,"p5","gpos25","hisM"
"2331","chr1",2464490,2465282,"p6","gpos50","hisQ"
"2332","chr1",2465510,2466303,"p8","gpos75","hisJ"
"2333","chr1",2466581,2467163,"p2","gpos25","argT"
"2334","chr1",2467177,2468589,"p5","gpos100","ubiX"
"2335","chr1",2468647,2469751,"p8","gpos100","STM2357"
"2336","chr1",2469752,2471185,"p3","gpos50","STM2358"
"2337","chr1",2471264,2472666,"p5","gpos25","STM2359"
"2338","chr1",2472865,2474299,"p2","gpos50","STM2360"
"2339","chr1",2474335,2475866,"p9","gpos50","STM2361"
"2340","chr1",2475890,2476455,"p3","gpos25","purF"
"2341","chr1",2476689,2477352,"p8","gpos75","cvpA"
"2342","chr1",2477353,2478638,"p4","gpos50","dedD"
"2343","chr1",2478689,2479694,"p8","gpos50","folC"
"2344","chr1",2479753,2480427,"p1","gpos75","accD"
"2345","chr1",2480461,2481272,"p10","gpos50","dedA"
"2346","chr1",2481273,2482301,"p6","gpos75","truA"
"2347","chr1",2482354,2483504,"p1","gpos75","usg"
"2348","chr1",2483580,2484591,"p4","gpos75","pdxB"
"2349","chr1",2484592,2485782,"p5","gpos50","flk"
"2350","chr1",2485950,2486331,"p9","gpos100","STM2372"
"2351","chr1",2486491,2486745,"p8","gpos50","STM2373"
"2352","chr1",2486906,2487273,"p3","gpos25","STM2374"
"2353","chr1",2487274,2487800,"p8","gpos100","STM2375"
"2354","chr1",2487867,2488528,"p10","gpos25","STM2376"
"2355","chr1",2488621,2489845,"p4","gpos25","STM2377"
"2356","chr1",2489927,2491995,"p4","gpos25","fabB"
"2357","chr1",2492047,2492333,"p10","gpos25","STM2379"
"2358","chr1",2492355,2492902,"p4","gpos25","yfcL"
"2359","chr1",2492903,2493711,"p5","gpos25","yfcM"
"2360","chr1",2493712,2494539,"p10","gpos100","yfcA"
"2361","chr1",2494540,2495636,"p10","gpos50","mepA"
"2362","chr1",2495661,2496602,"p8","gpos75","aroC"
"2363","chr1",2496745,2497310,"p4","gpos25","yfcB"
"2364","chr1",2497410,2497905,"p1","gpos75","yfcN"
"2365","chr1",2498104,2500250,"p8","gpos75","sixA"
"2366","chr1",2500251,2501573,"p5","gpos25","yfcX"
"2367","chr1",2501739,2502036,"p1","gpos100","yfcY"
"2368","chr1",2502255,2503701,"p2","gpos25","yfcZ"
"2369","chr1",2503762,2504530,"p5","gpos100","fadL"
"2370","chr1",2504792,2505747,"p3","gpos50","vacJ"
"2371","chr1",2505821,2505892,"p4","gpos100","yfdC"
"2372","chr1",2506054,2507005,"p8","gpos50","argW"
"2373","chr1",2507260,2508496,"p4","gpos25","pgtE"
"2374","chr1",2508497,2510499,"p5","gpos50","pgtA"
"2375","chr1",2510500,2511698,"p9","gpos100","pgtB"
"2376","chr1",2512122,2513520,"p10","gpos50","pgtC"
"2377","chr1",2513796,2514053,"p6","gpos50","pgtP"
"2378","chr1",2514550,2515480,"p8","gpos100","STM2400"
"2379","chr1",2516004,2517251,"p6","gpos25","ddg"
"2380","chr1",2517963,2518944,"p7","gpos50","yfdZ"
"2381","chr1",2519120,2520367,"p1","gpos100","glk"
"2382","chr1",2520387,2522046,"p7","gpos100","STM2404"
"2383","chr1",2522205,2523217,"p6","gpos75","STM2405"
"2384","chr1",2523318,2523657,"p5","gpos25","STM2406"
"2385","chr1",2523718,2524969,"p8","gpos50","ypeC"
"2386","chr1",2525190,2526504,"p1","gpos100","mntH"
"2387","chr1",2526557,2528746,"p4","gpos50","nupC"
"2388","chr1",2528938,2529010,"p8","gpos100","yfeA"
"2389","chr1",2529056,2529128,"p3","gpos75","alaX"
"2390","chr1",2529340,2529714,"p3","gpos100","alaW"
"2391","chr1",2529716,2530108,"p7","gpos100","yfeC"
"2392","chr1",2530162,2531588,"p6","gpos100","yfeD"
"2393","chr1",2531834,2531906,"p4","gpos100","gltX"
"2394","chr1",2531955,2532027,"p8","gpos100","valU"
"2395","chr1",2532072,2532144,"p1","gpos50","valX"
"2396","chr1",2532152,2532224,"p8","gpos100","valY"
"2397","chr1",2532393,2533356,"p9","gpos100","lysV"
"2398","chr1",2533546,2534814,"p6","gpos100","xapR"
"2399","chr1",2534857,2535746,"p8","gpos50","xapB"
"2400","chr1",2535932,2536707,"p10","gpos75","xapA"
"2401","chr1",2536769,2537695,"p6","gpos25","yfeN"
"2402","chr1",2537774,2538779,"p8","gpos25","yfeR"
"2403","chr1",2538780,2538999,"p3","gpos50","yfeH"
"2404","chr1",2539000,2541025,"p5","gpos100","STM2426"
"2405","chr1",2541087,2542082,"p7","gpos25","lig"
"2406","chr1",2542287,2543066,"p10","gpos50","zipA"
"2407","chr1",2543157,2544201,"p4","gpos100","cysZ"
"2408","chr1",2544492,2544842,"p10","gpos75","cysK"
"2409","chr1",2544880,2546618,"p2","gpos100","ptsH"
"2410","chr1",2546647,2547168,"p2","gpos75","ptsI"
"2411","chr1",2547317,2547552,"p3","gpos100","crr"
"2412","chr1",2547553,2548431,"p9","gpos25","STM2434"
"2413","chr1",2548498,2549794,"p4","gpos75","pdxK"
"2414","chr1",2549801,2550528,"p3","gpos25","ptsJ"
"2415","chr1",2550568,2550967,"p10","gpos100","yfeJ"
"2416","chr1",2550976,2551519,"p8","gpos50","yfeK"
"2417","chr1",2551650,2552569,"p9","gpos50","yfeL"
"2418","chr1",2552629,2553715,"p2","gpos25","cysM"
"2419","chr1",2553716,2554590,"p8","gpos100","cysA"
"2420","chr1",2554591,2555423,"p9","gpos100","cysW"
"2421","chr1",2555424,2556546,"p8","gpos100","cysU"
"2422","chr1",2556598,2557404,"p9","gpos50","cysP"
"2423","chr1",2557627,2558537,"p1","gpos100","ucpA"
"2424","chr1",2558621,2559207,"p9","gpos25","STM2446"
"2425","chr1",2559258,2559693,"p1","gpos50","STM2447"
"2426","chr1",2559694,2560230,"p6","gpos50","yfeZ"
"2427","chr1",2560324,2561194,"p3","gpos75","STM2449"
"2428","chr1",2561195,2562103,"p3","gpos25","amiA"
"2429","chr1",2562124,2562453,"p2","gpos50","hemF"
"2430","chr1",2562575,2563859,"p10","gpos50","STM2452"
"2431","chr1",2564059,2565126,"p7","gpos75","STM2453"
"2432","chr1",2565159,2565666,"p1","gpos25","eutR"
"2433","chr1",2565666,2566334,"p1","gpos100","eutK"
"2434","chr1",2566335,2567245,"p9","gpos50","eutL"
"2435","chr1",2567250,2568622,"p10","gpos100","eutC"
"2436","chr1",2568623,2570022,"p7","gpos100","eutB"
"2437","chr1",2570023,2571264,"p9","gpos25","eutA"
"2438","chr1",2571369,2572545,"p2","gpos100","eutH"
"2439","chr1",2572546,2573395,"p2","gpos100","eutG"
"2440","chr1",2573396,2574810,"p1","gpos25","eutJ"
"2441","chr1",2574811,2575110,"p10","gpos100","eutE"
"2442","chr1",2575211,2575513,"p3","gpos75","eutN"
"2443","chr1",2575542,2576554,"p8","gpos50","eutM"
"2444","chr1",2576555,2577354,"p5","gpos75","eutD"
"2445","chr1",2577355,2578021,"p8","gpos25","eutT"
"2446","chr1",2578022,2578510,"p1","gpos100","eutQ"
"2447","chr1",2578514,2578865,"p7","gpos50","eutP"
"2448","chr1",2579330,2579794,"p3","gpos25","eutS"
"2449","chr1",2579978,2582270,"p1","gpos50","tnpA_3"
"2450","chr1",2582515,2583479,"p1","gpos100","maeB"
"2451","chr1",2583487,2585499,"p3","gpos100","talA"
"2452","chr1",2585562,2585800,"p5","gpos100","tktB"
"2453","chr1",2585920,2586980,"p8","gpos100","STM2475"
"2454","chr1",2587088,2587674,"p4","gpos75","ypfG"
"2455","chr1",2587855,2589165,"p1","gpos100","yffH"
"2456","chr1",2589614,2591584,"p1","gpos25","STM2478"
"2457","chr1",2591746,2593461,"p10","gpos50","aegA"
"2458","chr1",2593632,2596759,"p1","gpos75","narQ"
"2459","chr1",2597322,2597680,"p3","gpos50","acrD"
"2460","chr1",2597681,2598820,"p5","gpos75","yffB"
"2461","chr1",2598841,2599048,"p4","gpos25","dapE"
"2462","chr1",2599075,2601104,"p10","gpos75","STM2484"
"2463","chr1",2601109,2601981,"p3","gpos25","ypfI"
"2464","chr1",2602103,2602982,"p8","gpos50","STM2486"
"2465","chr1",2602991,2604037,"p10","gpos100","purC"
"2466","chr1",2604042,2604982,"p9","gpos75","nlpB"
"2467","chr1",2605000,2605620,"p6","gpos75","dapA"
"2468","chr1",2605621,2606108,"p8","gpos100","gcvR"
"2469","chr1",2606155,2606508,"p1","gpos50","bcp"
"2470","chr1",2606695,2607776,"p8","gpos75","STM2492"
"2471","chr1",2607957,2609433,"p2","gpos75","perM"
"2472","chr1",2609462,2609832,"p1","gpos75","STM2494"
"2473","chr1",2609859,2610584,"p2","gpos100","yfgD"
"2474","chr1",2610655,2611956,"p1","gpos25","yfgE"
"2475","chr1",2612032,2612819,"p5","gpos75","uraA"
"2476","chr1",2613008,2614094,"p1","gpos75","upp"
"2477","chr1",2614095,2614747,"p4","gpos50","purM"
"2478","chr1",2614919,2617002,"p5","gpos50","purN"
"2479","chr1",2617007,2618548,"p2","gpos75","ppk"
"2480","chr1",2618584,2620797,"p1","gpos100","ppx"
"2481","chr1",2620894,2621031,"p9","gpos50","STM2503"
"2482","chr1",2621102,2621197,"p2","gpos75","STM2504"
"2483","chr1",2621198,2621401,"p10","gpos100","STM2505"
"2484","chr1",2621480,2621716,"p6","gpos25","STM2506"
"2485","chr1",2621942,2622271,"p1","gpos75","STM2507"
"2486","chr1",2622291,2622652,"p2","gpos100","STM2508"
"2487","chr1",2622804,2624396,"p7","gpos75","STM2509"
"2488","chr1",2624451,2626003,"p5","gpos50","guaA"
"2489","chr1",2626078,2627427,"p9","gpos75","guaB"
"2490","chr1",2627589,2633715,"p2","gpos25","xseA"
"2491","chr1",2634402,2641716,"p4","gpos100","shdA"
"2492","chr1",2641875,2647476,"p2","gpos50","ratB"
"2493","chr1",2647592,2648558,"p2","gpos100","ratA"
"2494","chr1",2648609,2650807,"p10","gpos25","sinI"
"2495","chr1",2651147,2651380,"p10","gpos100","sinH"
"2496","chr1",2651457,2652941,"p1","gpos75","yfgJ"
"2497","chr1",2653048,2654236,"p10","gpos75","engA"
"2498","chr1",2654237,2654870,"p8","gpos100","yfgL"
"2499","chr1",2654871,2656161,"p9","gpos50","yfgM"
"2500","chr1",2656256,2657384,"p1","gpos50","hisS"
"2501","chr1",2657401,2658405,"p10","gpos25","gcpE"
"2502","chr1",2658697,2659875,"p6","gpos100","yfgA"
"2503","chr1",2660070,2660510,"p8","gpos25","yfgB"
"2504","chr1",2660622,2661485,"p7","gpos50","ndk"
"2505","chr1",2661485,2662286,"p10","gpos75","STM2527"
"2506","chr1",2662287,2662912,"p5","gpos75","STM2528"
"2507","chr1",2662913,2665318,"p8","gpos100","STM2529"
"2508","chr1",2665447,2667762,"p2","gpos100","STM2530"
"2509","chr1",2667763,2672709,"p4","gpos100","pbpC"
"2510","chr1",2672894,2673748,"p1","gpos50","STM2532"
"2511","chr1",2673989,2674663,"p7","gpos75","sseA"
"2512","chr1",2675232,2676017,"p9","gpos50","STM2534"
"2513","chr1",2676118,2677414,"p3","gpos25","sseB"
"2514","chr1",2677648,2677857,"p10","gpos25","pepB"
"2515","chr1",2677860,2678196,"p9","gpos75","yfhJ"
"2516","chr1",2678197,2680059,"p3","gpos75","fdx"
"2517","chr1",2680060,2680608,"p8","gpos75","hscA"
"2518","chr1",2680771,2681105,"p10","gpos50","hscB"
"2519","chr1",2681123,2681523,"p5","gpos100","yfhF"
"2520","chr1",2681537,2682767,"p8","gpos75","nifU"
"2521","chr1",2682932,2683441,"p8","gpos100","nifS"
"2522","chr1",2683586,2684330,"p2","gpos50","yfhP"
"2523","chr1",2684427,2685239,"p5","gpos25","STM2545"
"2524","chr1",2685372,2686262,"p5","gpos100","suhB"
"2525","chr1",2686437,2687482,"p2","gpos50","STM2547"
"2526","chr1",2687483,2688309,"p1","gpos75","asrA"
"2527","chr1",2688313,2689333,"p2","gpos25","asrB"
"2528","chr1",2689334,2690310,"p9","gpos25","asrC"
"2529","chr1",2690311,2690956,"p8","gpos25","STM2551"
"2530","chr1",2691059,2692346,"p8","gpos75","STM2552"
"2531","chr1",2692347,2693495,"p8","gpos50","csiE"
"2532","chr1",2693682,2695130,"p2","gpos100","hcaT"
"2533","chr1",2695248,2696450,"p10","gpos50","glyA"
"2534","chr1",2696564,2698176,"p5","gpos100","hmpA"
"2535","chr1",2698371,2699868,"p1","gpos100","cadC"
"2536","chr1",2699938,2702095,"p3","gpos100","cadB"
"2537","chr1",2702140,2703611,"p9","gpos100","cadA"
"2538","chr1",2703660,2704074,"p10","gpos100","yjdL"
"2539","chr1",2704075,2705408,"p9","gpos100","glnB"
"2540","chr1",2705409,2706173,"p5","gpos75","yfhA"
"2541","chr1",2706175,2707617,"p2","gpos100","yfhG"
"2542","chr1",2708255,2712163,"p4","gpos50","yfhK"
"2543","chr1",2712164,2712384,"p4","gpos25","purG"
"2544","chr1",2712385,2713942,"p6","gpos100","STM2566"
"2545","chr1",2713993,2714544,"p1","gpos50","yfhD"
"2546","chr1",2714569,2715207,"p8","gpos100","yfhC"
"2547","chr1",2715208,2716578,"p7","gpos75","yfhB"
"2548","chr1",2716580,2717484,"p5","gpos100","STM2570"
"2549","chr1",2717577,2718437,"p7","gpos50","STM2571"
"2550","chr1",2718476,2719400,"p3","gpos25","yfhH"
"2551","chr1",2719415,2720622,"p6","gpos25","STM2573"
"2552","chr1",2720727,2721653,"p5","gpos100","STM2574"
"2553","chr1",2721679,2721951,"p10","gpos100","STM2575"
"2554","chr1",2722063,2722442,"p10","gpos75","yfhL"
"2555","chr1",2722443,2723184,"p8","gpos75","acpS"
"2556","chr1",2723186,2723914,"p5","gpos50","pdxJ"
"2557","chr1",2723926,2724827,"p10","gpos75","recO"
"2558","chr1",2724828,2725518,"p2","gpos100","era"
"2559","chr1",2725782,2726767,"p6","gpos100","rnc"
"2560","chr1",2726773,2728572,"p7","gpos75","lepB"
"2561","chr1",2728973,2730470,"p10","gpos50","lepA"
"2562","chr1",2731352,2731902,"p5","gpos25","gogB"
"2563","chr1",2733014,2733241,"p4","gpos25","STM2585"
"2564","chr1",2733338,2733905,"p3","gpos100","STM2585A"
"2565","chr1",2733906,2734726,"p1","gpos100","STM2586"
"2566","chr1",2734727,2737105,"p5","gpos100","STM2587"
"2567","chr1",2737434,2740796,"p3","gpos25","STM2588"
"2568","chr1",2740858,2741402,"p7","gpos100","STM2589"
"2569","chr1",2741403,2742009,"p9","gpos50","STM2590"
"2570","chr1",2742147,2742853,"p6","gpos50","STM2591"
"2571","chr1",2742855,2743186,"p9","gpos100","STM2592"
"2572","chr1",2743187,2746253,"p1","gpos100","STM2593"
"2573","chr1",2746254,2746588,"p8","gpos25","STM2594"
"2574","chr1",2746589,2746990,"p8","gpos75","STM2595"
"2575","chr1",2747035,2747789,"p8","gpos50","STM2596"
"2576","chr1",2747789,2748166,"p1","gpos25","STM2597"
"2577","chr1",2748167,2749429,"p6","gpos50","STM2598"
"2578","chr1",2749478,2750063,"p4","gpos100","STM2599"
"2579","chr1",2750084,2750472,"p4","gpos100","STM2600"
"2580","chr1",2750478,2750844,"p2","gpos100","STM2601"
"2581","chr1",2750895,2751930,"p6","gpos25","STM2602"
"2582","chr1",2751978,2752332,"p4","gpos50","STM2603"
"2583","chr1",2752338,2753823,"p4","gpos25","STM2604"
"2584","chr1",2753824,2755400,"p9","gpos75","STM2605"
"2585","chr1",2755401,2755587,"p4","gpos25","STM2606"
"2586","chr1",2755588,2757490,"p6","gpos50","STM2607"
"2587","chr1",2757491,2758036,"p2","gpos50","STM2608"
"2588","chr1",2758310,2758724,"p3","gpos75","STM2609"
"2589","chr1",2758960,2759418,"p8","gpos75","STM2610"
"2590","chr1",2759430,2759865,"p1","gpos100","STM2611"
"2591","chr1",2759866,2760202,"p9","gpos100","STM2612"
"2592","chr1",2760465,2761157,"p1","gpos50","STM2613"
"2593","chr1",2761650,2761723,"p8","gpos50","STM2614"
"2594","chr1",2762067,2762637,"p7","gpos100","STM2615"
"2595","chr1",2762903,2763576,"p6","gpos75","STM2616"
"2596","chr1",2763577,2763713,"p8","gpos50","STM2617"
"2597","chr1",2763714,2764331,"p1","gpos100","STM2618"
"2598","chr1",2764534,2765142,"p6","gpos75","STM2619"
"2599","chr1",2765552,2765791,"p8","gpos100","STM2620"
"2600","chr1",2766077,2766370,"p5","gpos75","STM2621"
"2601","chr1",2766445,2766752,"p2","gpos75","STM2622"
"2602","chr1",2766753,2767106,"p8","gpos25","STM2623"
"2603","chr1",2767111,2767862,"p9","gpos25","STM2624"
"2604","chr1",2767863,2768852,"p8","gpos50","STM2625"
"2605","chr1",2768931,2769305,"p3","gpos100","STM2626"
"2606","chr1",2769611,2770040,"p8","gpos100","STM2627"
"2607","chr1",2770084,2770335,"p6","gpos50","STM2628"
"2608","chr1",2770336,2770501,"p7","gpos50","STM2629"
"2609","chr1",2770523,2770873,"p3","gpos100","STM2630"
"2610","chr1",2770988,2773843,"p7","gpos100","STM2631"
"2611","chr1",2773844,2775005,"p10","gpos50","STM2632"
"2612","chr1",2775040,2775287,"p3","gpos25","STM2633"
"2613","chr1",2775321,2775589,"p10","gpos100","STM2634"
"2614","chr1",2775590,2776825,"p5","gpos100","STM2635"
"2615","chr1",2777317,2777792,"p10","gpos25","STM2636"
"2616","chr1",2777793,2778748,"p5","gpos75","rseC"
"2617","chr1",2778749,2779417,"p6","gpos50","rseB"
"2618","chr1",2779431,2780026,"p2","gpos25","rseA"
"2619","chr1",2780431,2782037,"p10","gpos100","rpoE"
"2620","chr1",2782038,2782789,"p9","gpos50","nadB"
"2621","chr1",2782896,2784240,"p5","gpos25","yfiC"
"2622","chr1",2784258,2785163,"p7","gpos25","srmB"
"2623","chr1",2785247,2785847,"p1","gpos50","yfiE"
"2624","chr1",2785909,2786307,"p4","gpos50","yfiK"
"2625","chr1",2786599,2787300,"p7","gpos75","yfiD"
"2626","chr1",2787416,2788465,"p9","gpos50","ung"
"2627","chr1",2788647,2789076,"p4","gpos100","yfiF"
"2628","chr1",2789149,2789829,"p5","gpos100","trxC"
"2629","chr1",2789870,2792543,"p10","gpos25","yfiP"
"2630","chr1",2792640,2794013,"p7","gpos100","yfiQ"
"2631","chr1",2794045,2794377,"p4","gpos50","pssA"
"2632","chr1",2794378,2795691,"p10","gpos75","yfiM"
"2633","chr1",2795783,2796245,"p4","gpos25","kgtP"
"2634","chr1",2796443,2796564,"p2","gpos25","STM2655"
"2635","chr1",2796758,2799767,"p7","gpos75","rrfG"
"2636","chr1",2799961,2800033,"p2","gpos25","rrlG"
"2637","chr1",2800121,2801663,"p4","gpos100","gltW"
"2638","chr1",2802119,2804700,"p5","gpos25","rrsG"
"2639","chr1",2804822,2805549,"p2","gpos75","clpB"
"2640","chr1",2805550,2806542,"p6","gpos50","yfiH"
"2641","chr1",2806644,2807399,"p4","gpos25","rluD"
"2642","chr1",2807659,2808009,"p2","gpos25","yfiO"
"2643","chr1",2808106,2808160,"p9","gpos25","yfiA"
"2644","chr1",2808249,2809380,"p8","gpos50","STM2666"
"2645","chr1",2809381,2810296,"p8","gpos25","pheA"
"2646","chr1",2810347,2811477,"p4","gpos100","STM2668"
"2647","chr1",2811478,2812684,"p1","gpos50","tyrA"
"2648","chr1",2812974,2813484,"p2","gpos100","aroF"
"2649","chr1",2813485,2814719,"p3","gpos75","yfiR"
"2650","chr1",2814876,2815242,"p5","gpos50","yfiN"
"2651","chr1",2815264,2816045,"p8","gpos25","rplS"
"2652","chr1",2816076,2816636,"p1","gpos75","trmD"
"2653","chr1",2816643,2816900,"p7","gpos25","rimM"
"2654","chr1",2817205,2818579,"p2","gpos100","rpsP"
"2655","chr1",2818732,2819523,"p10","gpos50","ffh"
"2656","chr1",2819588,2820829,"p6","gpos75","corE"
"2657","chr1",2820944,2821555,"p6","gpos25","yfjD"
"2658","chr1",2821590,2822176,"p7","gpos25","STM2680"
"2659","chr1",2822177,2822287,"p6","gpos100","grpE"
"2660","chr1",2822288,2823181,"p5","gpos75","STM2682"
"2661","chr1",2823254,2824928,"p4","gpos100","yfjB"
"2662","chr1",2825061,2825415,"p4","gpos25","recN"
"2663","chr1",2825581,2825860,"p5","gpos50","smpA"
"2664","chr1",2825861,2826337,"p9","gpos50","yfjF"
"2665","chr1",2826477,2826969,"p6","gpos100","yfjG"
"2666","chr1",2839117,2840520,"p2","gpos100","smpB"
"2667","chr1",2840521,2842708,"p2","gpos50","STM2690"
"2668","chr1",2842716,2843879,"p4","gpos75","STM2691"
"2669","chr1",2844217,2844316,"p7","gpos75","STM2692"
"2670","chr1",2844431,2844666,"p8","gpos75","10Sa"
"2671","chr1",2844718,2845814,"p5","gpos50","STM2694"
"2672","chr1",2845815,2846296,"p9","gpos75","STM2695"
"2673","chr1",2846297,2849096,"p6","gpos50","STM2696"
"2674","chr1",2849097,2849219,"p2","gpos50","STM2697"
"2675","chr1",2849231,2849540,"p1","gpos100","STM2698"
"2676","chr1",2849588,2850109,"p10","gpos100","STM2699"
"2677","chr1",2850113,2851292,"p6","gpos50","STM2700"
"2678","chr1",2851388,2851909,"p10","gpos25","STM2701"
"2679","chr1",2851910,2852994,"p9","gpos25","STM2702"
"2680","chr1",2852998,2853408,"p9","gpos25","STM2703"
"2681","chr1",2853412,2853998,"p6","gpos25","STM2704"
"2682","chr1",2853999,2855569,"p10","gpos25","STM2705"
"2683","chr1",2855570,2856167,"p4","gpos75","STM2706"
"2684","chr1",2856168,2857062,"p6","gpos100","STM2707"
"2685","chr1",2857063,2857418,"p9","gpos100","STM2708"
"2686","chr1",2857419,2858001,"p7","gpos50","STM2709"
"2687","chr1",2858066,2858504,"p10","gpos25","STM2710"
"2688","chr1",2858505,2858898,"p1","gpos25","STM2711"
"2689","chr1",2858899,2859031,"p7","gpos25","STM2712"
"2690","chr1",2859032,2859465,"p3","gpos75","STM2713"
"2691","chr1",2859837,2860326,"p4","gpos100","STM2714"
"2692","chr1",2860327,2860546,"p3","gpos100","STM2715"
"2693","chr1",2860546,2860748,"p4","gpos50","STM2716"
"2694","chr1",2860749,2861221,"p7","gpos25","STM2717"
"2695","chr1",2861307,2861963,"p7","gpos50","STM2718"
"2696","chr1",2861964,2863052,"p7","gpos100","STM2719"
"2697","chr1",2863063,2863902,"p9","gpos50","STM2720"
"2698","chr1",2864035,2865797,"p8","gpos50","STM2721"
"2699","chr1",2865798,2866845,"p3","gpos100","STM2722"
"2700","chr1",2866931,2868682,"p4","gpos100","STM2723"
"2701","chr1",2868896,2869633,"p3","gpos100","STM2724"
"2702","chr1",2869687,2869930,"p3","gpos50","STM2726"
"2703","chr1",2869931,2870126,"p1","gpos100","STM2727"
"2704","chr1",2870272,2872691,"p3","gpos25","STM2728"
"2705","chr1",2872692,2873545,"p2","gpos100","STM2729"
"2706","chr1",2873546,2873772,"p7","gpos25","STM2730"
"2707","chr1",2873773,2874014,"p9","gpos50","STM2731"
"2708","chr1",2874074,2874422,"p5","gpos25","STM2732"
"2709","chr1",2874629,2875040,"p9","gpos25","STM2733"
"2710","chr1",2875041,2875281,"p3","gpos25","STM2734"
"2711","chr1",2875282,2875797,"p1","gpos25","STM2735"
"2712","chr1",2875827,2876069,"p9","gpos25","STM2736"
"2713","chr1",2876177,2876815,"p10","gpos25","STM2737"
"2714","chr1",2876819,2877844,"p1","gpos100","STM2738"
"2715","chr1",2878160,2879237,"p3","gpos25","STM2739"
"2716","chr1",2879461,2880058,"p7","gpos100","STM2740"
"2717","chr1",2880448,2881641,"p3","gpos25","STM2741"
"2718","chr1",2881976,2882803,"p8","gpos75","STM2742"
"2719","chr1",2883247,2883469,"p4","gpos50","STM2743"
"2720","chr1",2883505,2885574,"p9","gpos75","STM2744"
"2721","chr1",2886073,2887360,"p3","gpos25","STM2745"
"2722","chr1",2887399,2888223,"p1","gpos25","STM2746"
"2723","chr1",2888377,2888738,"p9","gpos50","STM2747"
"2724","chr1",2888824,2889112,"p3","gpos25","STM2748"
"2725","chr1",2889217,2889735,"p3","gpos75","STM2749"
"2726","chr1",2889736,2890105,"p3","gpos50","STM2750"
"2727","chr1",2890106,2891094,"p1","gpos25","STM2751"
"2728","chr1",2891098,2892118,"p9","gpos100","STM2752"
"2729","chr1",2892413,2893615,"p10","gpos75","STM2753"
"2730","chr1",2893689,2894331,"p9","gpos100","STM2754"
"2731","chr1",2894348,2894910,"p8","gpos75","STM2755"
"2732","chr1",2894911,2895760,"p3","gpos100","STM2756"
"2733","chr1",2895883,2897432,"p4","gpos25","STM2757"
"2734","chr1",2897642,2899326,"p3","gpos25","STM2758"
"2735","chr1",2900435,2901318,"p9","gpos50","STM2759"
"2736","chr1",2901484,2903358,"p2","gpos50","STM2760"
"2737","chr1",2903618,2904901,"p7","gpos75","STM2761"
"2738","chr1",2905473,2906075,"p8","gpos25","STM2762"
"2739","chr1",2906456,2906923,"p7","gpos50","STM2763"
"2740","chr1",2907070,2907343,"p9","gpos25","STM2764"
"2741","chr1",2907789,2908423,"p3","gpos75","STM2765"
"2742","chr1",2908424,2910413,"p9","gpos75","STM2766"
"2743","chr1",2910685,2911847,"p9","gpos25","STM2767"
"2744","chr1",2912627,2913166,"p5","gpos50","STM2768"
"2745","chr1",2913234,2914761,"p9","gpos50","fljA"
"2746","chr1",2914839,2915418,"p8","gpos75","fljB"
"2747","chr1",2916374,2917496,"p5","gpos75","hin"
"2748","chr1",2917570,2921230,"p9","gpos100","iroB"
"2749","chr1",2921334,2922584,"p5","gpos50","iroC"
"2750","chr1",2922609,2923551,"p5","gpos75","iroD"
"2751","chr1",2923593,2925778,"p3","gpos100","iroE"
"2752","chr1",2926299,2926631,"p1","gpos75","iroN"
"2753","chr1",2926806,2927863,"p3","gpos25","STM2779"
"2754","chr1",2928377,2929306,"p10","gpos75","STM2780"
"2755","chr1",2929591,2930495,"p1","gpos100","virK"
"2756","chr1",2931217,2932237,"p4","gpos50","mig-14"
"2757","chr1",2932363,2933764,"p6","gpos50","nxiA"
"2758","chr1",2933765,2934446,"p4","gpos75","tctE"
"2759","chr1",2934587,2935571,"p9","gpos100","tctD"
"2760","chr1",2935577,2936017,"p3","gpos50","STM2786"
"2761","chr1",2936022,2937542,"p10","gpos75","STM2787"
"2762","chr1",2937829,2938822,"p5","gpos75","STM2788"
"2763","chr1",2938834,2940116,"p7","gpos100","STM2789"
"2764","chr1",2940126,2941586,"p2","gpos50","ygaF"
"2765","chr1",2941587,2942884,"p5","gpos50","gabD"
"2766","chr1",2943003,2944414,"p9","gpos25","gabT"
"2767","chr1",2944444,2945133,"p4","gpos75","gabP"
"2768","chr1",2945155,2945613,"p8","gpos25","ygaE"
"2769","chr1",2945704,2945873,"p5","gpos25","ygaU"
"2770","chr1",2946045,2946342,"p4","gpos25","yqaE"
"2771","chr1",2946343,2946881,"p8","gpos75","STM2797"
"2772","chr1",2947229,2947770,"p8","gpos25","ygaP"
"2773","chr1",2948316,2948778,"p7","gpos25","stpA"
"2774","chr1",2948813,2949174,"p4","gpos25","STM2800"
"2775","chr1",2949313,2949651,"p1","gpos25","ygaC"
"2776","chr1",2949735,2951074,"p9","gpos50","ygaM"
"2777","chr1",2951145,2951589,"p6","gpos50","STM2803"
"2778","chr1",2951846,2952091,"p5","gpos50","STM2804"
"2779","chr1",2952092,2952469,"p9","gpos75","nrdH"
"2780","chr1",2952470,2954628,"p1","gpos75","nrdI"
